,代號,名稱,股東權益(億),每股淨值(元)
1,3008,大立光,1425.0,1067.53
2,2357,華碩,2464.0,312.79
3,2454,聯發科,4336.0,271.52
4,6415,矽力-KY,242,251.53
5,5269,祥碩,163,235.24
6,6510,精測,76.7,233.81
7,4966,譜瑞-KY,172,213.51
8,2474,可成,1514.0,204.55
9,8299,群聯,373,189.31
10,6121,新普,378,178.87
11,1590,亞德客-KY,352,175.72
12,2327,國巨,796,161.44
13,3533,嘉澤,181,159.11
14,6669,緯穎,274,156.54
15,2915,潤泰全,1100.0,153.3
16,3406,玉晶光,171,152.44
17,3661,世芯-KY,103,146.39
18,2247,汎德永業,117,145.12
19,2207,和泰車,945,135.07
20,6271,同欣電,239,133.95
21,3034,聯詠,809,132.96
22,3592,瑞鼎,90.3,132.32
23,2059,川湖,126,132.25
24,3293,鈊象,89.7,127.17
25,4766,南寶,163,126.71
26,1315,達新,116,120.85
27,6781,AES-KY,103,120.82
28,1565,精華,59.7,118.44
29,3665,貿聯-KY,152,110.03
30,3131,弘塑,31.6,109.63
31,1256,鮮活果汁-KY,40.2,107.63
32,6414,樺漢,314,106.81
33,6732,昇佳電子,51.6,105.45
34,6488,環球晶,456,104.84
35,5274,信驊,35.5,103.18
36,2317,鴻海,15733.0,99.59
37,5536,聖暉,73,98.52
38,8016,矽創,152,98.12
39,3611,鼎翰,40.9,96.24
40,6456,GIS-KY,323,94.63
41,6533,晶心科,47.7,94.2
42,4905,台聯電,28.2,93.98
43,2239,英利-KY,151,92.39
44,2492,華新科,535,91.56
45,6462,神盾,63.3,91.24
46,4958,臻鼎-KY,1135.0,89.28
47,2049,上銀,305,88.85
48,2729,瓦城,19.9,87.03
49,3673,TPK-KY,354,86.64
50,6515,穎崴,29.3,86.38
51,6605,帝寶,146,85.25
52,4961,天鈺,174,85.11
53,3413,京鼎,75.2,84.82
54,3691,碩禾,70.1,84.46
55,2330,台積電,21707.0,83.62
56,3105,穩懋,371,82.41
57,1558,伸興,49.8,81.08
58,3376,新日興,155,80.66
59,4439,冠星-KY,24.9,79.56
60,4736,泰博,76.3,79.52
61,1589,永冠-KY,88.3,78.73
62,2354,鴻準,1110.0,78.58
63,6803,崑鼎,59,78.51
64,6491,晶碩,55.1,78.37
65,1476,儒鴻,211,77.08
66,2204,中華,463,77.08
67,6613,朋億,30,76.93
68,3714,富采,546,76.7
69,2379,瑞昱,390,76.26
70,1338,廣華-KY,66,75.72
71,3679,新至陞,47,75
72,9921,巨大,297,73.26
73,6269,台郡,257,73.11
74,1264,德麥,33.7,73.06
75,3044,健鼎,383,72.89
76,6176,瑞儀,337,72.38
77,5289,宜鼎,60.3,72.11
78,3227,原相,102,71.23
79,2881,富邦金,9838.0,70.84
80,8081,致新,68.4,70.8
81,2636,台驊投控,102,70.68
82,2362,藍天,413,70.59
83,4770,上品,55.4,70.49
84,3015,全漢,134,69.87
85,6582,申豐,73.6,69.35
86,8436,大江,92.4,68.95
87,3548,兆利,41.3,68.69
88,6683,雍智科技,18.6,68.69
89,5871,中租-KY,1165.0,68.5
90,8255,朋程,64.5,67.55
91,2609,陽明,2343.0,66.92
92,1326,台化,4440.0,66.84
93,4438,廣越,83.9,66.66
94,6691,洋基工程,45.2,66.52
95,3010,華立,177,66.51
96,2548,華固,185,66.43
97,6409,旭隼,57.1,65.29
98,6239,力成,633,65.25
99,3558,神準,33.8,65
100,2383,台光電,217,64.97
101,8499,鼎炫-KY,36,64.61
102,6223,旺矽,60.5,64.19
103,2308,台達電,1999.0,64.14
104,8279,生展,17.3,63.98
105,1259,安心,20.9,63.79
106,3563,牧德,29.6,63.76
107,2428,興勤,82.8,63.68
108,3189,景碩,324,63.6
109,1301,台塑,4032.0,63.34
110,2227,裕日車,190,63.34
111,4551,智伸科,72.8,63.18
112,3545,敦泰,136,63.01
113,4137,麗豐-KY,49.9,62.81
114,2375,凱美,85.3,62.75
